HISTID,Year,Month,Day,Hour,Minute,P1,P2
7666,2015,12,15,16,0,5.191,233.995
7666,2015,12,15,16,15,0.49,2.237
7666,2015,12,15,16,20,0.49,2.237
7666,2015,12,15,16,25,0.49,2.237
7666,2015,12,15,16,30,0.49,2.237
7666,2015,12,15,16,35,0.49,2.237
7666,2015,12,15,16,40,0.49,2.237
7666,2015,12,15,16,45,0.49,2.237
7666,2015,12,15,16,50,0.49,2.237
7666,2015,12,15,16,55,0.49,2.236
7666,2015,12,15,17,0,0.49,2.237
7666,2015,12,15,17,5,0.239,1.162
7666,2015,12,15,17,10,0.0,0.0
7666,2015,12,15,17,15,0.0,0.0
7666,2015,12,15,17,20,0.0,0.0
7666,2015,12,15,17,25,0.0,0.0
7666,2015,12,15,17,30,0.0,0.0
7666,2015,12,15,17,35,0.0,0.0
7666,2015,12,15,17,40,0.0,0.0
7666,2015,12,15,17,45,0.0,0.0
7666,2015,12,15,17,50,0.0,0.0
7666,2015,12,15,17,55,0.0,0.0
7666,2015,12,15,18,0,0.0,0.0
7666,2015,12,15,18,5,0.0,0.0
7666,2015,12,15,18,10,0.0,0.0
7666,2015,12,15,18,15,0.0,0.0
7666,2015,12,15,18,20,0.0,0.0
7666,2015,12,15,18,25,0.0,0.0
7666,2015,12,15,18,30,0.0,0.0
7666,2015,12,15,18,35,0.0,0.0
7666,2015,12,15,18,40,0.0,0.0
7666,2015,12,15,18,45,0.0,0.0
7666,2015,12,15,18,50,0.0,0.0
7666,2015,12,15,18,55,0.0,0.0
7666,2015,12,15,19,0,0.0,0.0
7666,2015,12,15,19,5,0.0,0.0
7666,2015,12,15,19,10,0.0,0.0
7666,2015,12,15,19,15,0.0,0.0
7666,2015,12,15,19,20,0.0,0.0
7666,2015,12,15,19,25,0.0,0.0
7666,2015,12,15,19,30,0.0,0.0
7666,2015,12,15,19,35,0.0,0.0
7666,2015,12,15,19,40,0.0,0.0
7666,2015,12,15,19,45,0.0,0.0
7666,2015,12,15,19,50,0.0,0.0
7666,2015,12,15,19,55,0.0,0.0
7666,2015,12,15,20,0,0.0,0.0
7666,2015,12,15,20,5,0.0,0.0
7666,2015,12,15,20,10,0.0,0.0
7666,2015,12,15,20,15,0.0,0.0
7666,2015,12,15,20,20,0.0,0.0
7666,2015,12,15,20,25,0.0,0.0
7666,2015,12,15,20,30,0.0,0.0
7666,2015,12,15,20,35,0.0,0.0
7666,2015,12,15,20,40,0.0,0.0
7666,2015,12,15,20,45,0.0,0.0
7666,2015,12,15,20,50,0.0,0.0
7666,2015,12,15,20,55,0.0,0.0
7666,2015,12,15,21,0,0.0,0.0
7666,2015,12,15,21,5,0.0,0.0
7666,2015,12,15,21,10,0.0,0.0
7666,2015,12,15,21,15,0.0,0.0
7666,2015,12,15,21,20,0.0,0.0
7666,2015,12,15,21,25,0.0,0.0
7666,2015,12,15,21,30,0.0,0.0
7666,2015,12,15,21,35,0.0,0.0
7666,2015,12,15,21,40,0.0,0.0
7666,2015,12,15,21,45,0.0,0.0
